iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
263,2401.9450084685577,2023-01-15 22:51:15.511149,2023-01-15 22:51:35.853143,0 days 00:00:20.341994,,Plain,Bernoulli,10,0.046105550288997224,0.21810294104177508,2,487,18,0.9133645217924852,COMPLETE
261,2402.281656353702,2023-01-15 22:50:25.886929,2023-01-15 22:50:45.123865,0 days 00:00:19.236936,,Plain,Bernoulli,10,0.04736213194134724,0.2098085320457726,2,469,19,0.9208109615230156,COMPLETE
255,2403.3557257492394,2023-01-15 22:47:58.505540,2023-01-15 22:48:18.683251,0 days 00:00:20.177711,,Plain,Bernoulli,10,0.04720531572133558,0.21272288809588932,2,474,18,0.9255818235366665,COMPLETE
288,2404.0410459388795,2023-01-15 23:01:32.387719,2023-01-15 23:01:52.028374,0 days 00:00:19.640655,,Plain,Bernoulli,10,0.0575666869593279,0.19684716120776263,3,493,18,0.9082966654790936,COMPLETE
259,2404.0686726560243,2023-01-15 22:49:39.571154,2023-01-15 22:49:59.674046,0 days 00:00:20.102892,,Plain,Bernoulli,10,0.037875517689862984,0.21280153828445766,2,478,18,0.9233569231225384,COMPLETE
264,2404.578782523979,2023-01-15 22:51:41.786372,2023-01-15 22:52:01.830998,0 days 00:00:20.044626,,Plain,Bernoulli,10,0.05003946811978349,0.20908164865312423,2,487,18,0.9172287253652261,COMPLETE
289,2404.685385298873,2023-01-15 23:01:56.746885,2023-01-15 23:02:16.231058,0 days 00:00:19.484173,,Plain,Bernoulli,10,0.10184573041876747,0.1984959641266165,3,485,19,0.9040624374382451,COMPLETE
293,2404.932544468525,2023-01-15 23:03:37.245851,2023-01-15 23:03:57.104519,0 days 00:00:19.858668,,Plain,Bernoulli,10,0.10986700337229345,0.19036258264729647,3,500,19,0.8958113503143014,COMPLETE
271,2404.9366290361436,2023-01-15 22:54:39.053116,2023-01-15 22:54:59.069683,0 days 00:00:20.016567,,Plain,Bernoulli,10,0.08451828358494072,0.20200407450459115,2,484,18,0.9110935145856085,COMPLETE
248,2405.111103990147,2023-01-15 22:45:05.508219,2023-01-15 22:45:25.605173,0 days 00:00:20.096954,,Plain,Bernoulli,10,0.04150493400666894,0.21641082799918615,3,457,17,0.9284348000887681,COMPLETE
246,2405.1939087627197,2023-01-15 22:44:17.162949,2023-01-15 22:44:36.443313,0 days 00:00:19.280364,,Plain,Bernoulli,10,0.04358660246840787,0.22419170115609993,5,455,16,0.9285161473110518,COMPLETE
268,2405.2308304798853,2023-01-15 22:53:24.199099,2023-01-15 22:53:43.780929,0 days 00:00:19.581830,,Plain,Bernoulli,10,0.050742360788727923,0.2052952734301591,2,483,18,0.9132141020383789,COMPLETE
290,2405.3070959938264,2023-01-15 23:02:20.794284,2023-01-15 23:02:40.188113,0 days 00:00:19.393829,,Plain,Bernoulli,10,0.10654200113528475,0.18692460992695387,3,495,19,0.90139222117637,COMPLETE
297,2405.572924740896,2023-01-15 23:05:11.821428,2023-01-15 23:05:31.229394,0 days 00:00:19.407966,,Plain,Bernoulli,10,0.10750370064969471,0.1917133041964778,3,489,20,0.8967644712539427,COMPLETE
252,2405.6077254580355,2023-01-15 22:46:43.578303,2023-01-15 22:47:03.422283,0 days 00:00:19.843980,,Plain,Bernoulli,10,0.040154699751202415,0.22256291646118267,3,459,17,0.925106474093035,COMPLETE
294,2405.999051803052,2023-01-15 23:04:01.384249,2023-01-15 23:04:20.398964,0 days 00:00:19.014715,,Plain,Bernoulli,10,0.11369676618559743,0.19840055406889348,3,497,19,0.8971340389991744,COMPLETE
269,2406.6546351345933,2023-01-15 22:53:50.442383,2023-01-15 22:54:10.802963,0 days 00:00:20.360580,,Plain,Bernoulli,10,0.08490433390746649,0.20178018556126265,2,483,18,0.913322829858323,COMPLETE
266,2406.754937796721,2023-01-15 22:52:32.111652,2023-01-15 22:52:52.415468,0 days 00:00:20.303816,,Plain,Bernoulli,10,0.0487910291689016,0.2103168769738733,3,483,18,0.9184822149628229,COMPLETE
284,2406.899334343145,2023-01-15 22:59:57.767417,2023-01-15 23:00:17.000220,0 days 00:00:19.232803,,Plain,Bernoulli,10,0.05405561227274078,0.19276266792666533,2,475,19,0.9076267486234921,COMPLETE
296,2407.177185437805,2023-01-15 23:04:47.558868,2023-01-15 23:05:06.933653,0 days 00:00:19.374785,,Plain,Bernoulli,10,0.10721169707253018,0.19238492086949635,3,488,19,0.8992771841046936,COMPLETE
258,2407.312657342644,2023-01-15 22:49:13.310928,2023-01-15 22:49:33.268988,0 days 00:00:19.958060,,Plain,Bernoulli,10,0.04607002838634565,0.22195379874949603,2,465,18,0.9176830301032176,COMPLETE
267,2407.3970713506956,2023-01-15 22:52:57.839564,2023-01-15 22:53:17.254115,0 days 00:00:19.414551,,Plain,Bernoulli,10,0.0501560362968201,0.21054784231269974,2,484,18,0.9150099968753366,COMPLETE
287,2407.405403735999,2023-01-15 23:01:09.057183,2023-01-15 23:01:28.088622,0 days 00:00:19.031439,,Plain,Bernoulli,10,0.059845413921210344,0.19969282875487254,3,492,18,0.9043019215182835,COMPLETE
281,2407.4136684466,2023-01-15 22:58:47.067457,2023-01-15 22:59:06.339440,0 days 00:00:19.271983,,Plain,Bernoulli,10,0.0830547046814813,0.20239237316802638,2,467,18,0.9202470128748484,COMPLETE
257,2407.4775272336565,2023-01-15 22:48:49.000807,2023-01-15 22:49:08.747319,0 days 00:00:19.746512,,Plain,Bernoulli,10,0.040247223523244884,0.21468527868283124,2,476,18,0.9210873459256786,COMPLETE
225,2407.5265655912076,2023-01-15 22:35:49.917453,2023-01-15 22:36:09.726841,0 days 00:00:19.809388,,Plain,Bernoulli,10,0.04053789537624817,0.24543004130286156,5,447,15,0.9550350450920434,COMPLETE
299,2407.7692553279157,2023-01-15 23:06:02.143137,2023-01-15 23:06:21.139350,0 days 00:00:18.996213,,Plain,Bernoulli,10,0.11060121175086579,0.19114701762620528,3,484,19,0.8797904589204123,COMPLETE
298,2408.0411221915797,2023-01-15 23:05:35.969208,2023-01-15 23:05:55.376257,0 days 00:00:19.407049,,Plain,Bernoulli,10,0.10573062065997145,0.18269170135156187,3,488,20,0.8936895486135924,COMPLETE
292,2408.1922491299024,2023-01-15 23:03:13.102508,2023-01-15 23:03:32.763588,0 days 00:00:19.661080,,Plain,Bernoulli,10,0.10436848640449611,0.18919897169476232,3,500,19,0.909187434990758,COMPLETE
235,2408.21400767401,2023-01-15 22:39:47.344420,2023-01-15 22:40:06.895119,0 days 00:00:19.550699,,Plain,Bernoulli,10,0.04378737601156106,0.22668830658465616,5,443,15,0.9399886438702053,COMPLETE
219,2408.367273229533,2023-01-15 22:33:14.162938,2023-01-15 22:33:34.454333,0 days 00:00:20.291395,,Plain,Bernoulli,10,0.010109172173834967,0.2422175678027408,5,441,15,0.952897741706829,COMPLETE
273,2408.4352711471674,2023-01-15 22:55:24.799885,2023-01-15 22:55:44.103199,0 days 00:00:19.303314,,Plain,Bernoulli,10,0.08500406325529973,0.20379357305098553,2,474,18,0.9117064480613701,COMPLETE
232,2408.573688416748,2023-01-15 22:38:36.256868,2023-01-15 22:38:55.613991,0 days 00:00:19.357123,,Plain,Bernoulli,10,0.0109166185590916,0.23378305638672445,4,435,14,0.9666735045343837,COMPLETE
237,2408.6520436589412,2023-01-15 22:40:39.087606,2023-01-15 22:40:59.281357,0 days 00:00:20.193751,,Plain,Bernoulli,10,0.04469832561438626,0.2326145407023924,5,439,15,0.9408659983742789,COMPLETE
256,2408.762328753142,2023-01-15 22:48:22.706510,2023-01-15 22:48:42.196175,0 days 00:00:19.489665,,Plain,Bernoulli,10,0.04295884243225628,0.21543414700529454,2,467,18,0.9236404736941309,COMPLETE
245,2409.2315741913408,2023-01-15 22:43:51.886569,2023-01-15 22:44:10.642787,0 days 00:00:18.756218,,Plain,Bernoulli,10,0.028256955250644325,0.22642806296065757,4,454,17,0.9391596110176612,COMPLETE
241,2409.4862430382254,2023-01-15 22:42:18.638459,2023-01-15 22:42:37.680887,0 days 00:00:19.042428,,Plain,Bernoulli,10,0.011512706783224498,0.25224773026385305,4,444,16,0.9348618691874584,COMPLETE
221,2409.4992888365423,2023-01-15 22:34:07.043416,2023-01-15 22:34:27.447980,0 days 00:00:20.404564,,Plain,Bernoulli,10,0.014956819212025671,0.2246462719241415,5,439,14,0.9556219088572301,COMPLETE
254,2409.7071939380903,2023-01-15 22:47:32.112072,2023-01-15 22:47:51.668656,0 days 00:00:19.556584,,Plain,Bernoulli,10,0.03869538637704997,0.22270002504667955,2,469,17,0.9247060049870036,COMPLETE
249,2409.723597105057,2023-01-15 22:45:29.929000,2023-01-15 22:45:48.898457,0 days 00:00:18.969457,,Plain,Bernoulli,10,0.04267491568679919,0.22175234385095174,3,456,17,0.9280961998462429,COMPLETE
231,2409.781629509164,2023-01-15 22:38:09.347057,2023-01-15 22:38:28.922701,0 days 00:00:19.575644,,Plain,Bernoulli,10,0.010867935296908332,0.22874553322939473,4,432,14,0.9606083788054062,COMPLETE
236,2409.964312534883,2023-01-15 22:40:13.844561,2023-01-15 22:40:32.841944,0 days 00:00:18.997383,,Plain,Bernoulli,10,0.045863118890600144,0.23168133281623365,5,443,14,0.9371849032427785,COMPLETE
243,2410.2825002487752,2023-01-15 22:43:05.420331,2023-01-15 22:43:24.904518,0 days 00:00:19.484187,,Plain,Bernoulli,10,0.011867876076785251,0.22957760876280386,4,444,16,0.9392499662960243,COMPLETE
277,2410.6430960691378,2023-01-15 22:57:04.675987,2023-01-15 22:57:25.233840,0 days 00:00:20.557853,,Plain,Bernoulli,10,0.08360510481164751,0.20479428597664467,3,465,18,0.9073567057482278,COMPLETE
